SITE_NUMBER,LATITUDE,LONGITUDE,ELEVATION,AVERAGE_TEMP
31702099999,49.0,131.0833333,257.0,31.75289256198347
94962099999,-43.65,146.2666666,148.0,51.1551912568306
47602099999,38.0333333,138.2333333,7.2,58.47650273224044
94386099999,-23.45,151.9166666,6.0,74.57616438356165
30925099999,50.3666666,106.45,797.0,33.577777777777776
2452099999,59.3,14.9,219.0,42.693442622950826
70340799999,61.717,-157.15,54.0,28.149999999999995
6277099999,53.4166666,6.2,0.0,50.58324175824177
72259399999,32.567,-97.3,213.0,64.29590163934427
44277099999,46.4,96.25,2181.0,32.07076502732241
44294099999,47.3,107.4833333,1430.0,31.32362637362637
61968099999,-11.5833333,47.2833333,4.0,80.03981762917934
95369099999,-22.35,149.5166666,10.0,78.94347826086957
26502099999,55.973228,21.093856,10.05,46.11639344262296
2366099999,62.528125,17.443928,4.87,40.15409836065573
91670099999,-17.15,176.9,5.0,81.74905660377358
2559099999,57.7,16.4666666,31.0,44.55410764872521
94430099999,-26.6136,118.53722,519.0,72.11475409836065
44477099999,26.9833333,87.35,1210.0,71.4
42840099999,21.2,72.8333333,12.0,80.7904109589041
72539499999,42.75,-86.1,213.0,48.39397260273972
71338099999,67.5333333,-64.0166666,6.0,20.7
48569099999,6.933206,100.392975,27.43,80.94999999999999
3014099999,60.1166666,-2.0666666,13.0,48.151875000000004
43599099999,-0.693342,73.155644,1.82,82.87322834645671
2993099999,60.3,19.1333333,15.1,45.53405572755418
12466099999,51.5333333,20.0166667,190.0,49.50630372492836
42498099999,25.2333333,86.95,49.0,79.08153846153846
94595799999,-19.634444,134.183333,376.73,79.79162011173185
87896099999,-47.735292,-65.904097,81.07,59.066037735849065
71507099999,57.25,-117.2833333,455.0,5.219191919191922
36022099999,52.0166666,80.3666666,208.0,37.892349726775954
72030299999,33.593,-96.064,134.0,68.73333333333333
72658699999,43.65,-94.417,354.0,46.25765027322405
38396099999,41.5666666,60.6333333,101.0,57.76857923497268
61202099999,20.242983,0.977308,494.08,87.4223602484472
76743099999,17.9833333,-92.9333333,16.0,80.84228187919463
15014099999,47.658389,23.470022,184.09,49.808196721311475
12560099999,50.2333333,19.0333333,284.0,46.68743169398907
26046099999,59.3333333,27.3833333,75.0,41.37843137254902
38343099999,42.95,72.75,683.0,52.26291208791208
8280099999,38.948528,-1.863517,701.64,57.64617486338798
3235099999,54.817,-2.083,434.0,45.17741935483871
57328099999,31.2,107.5,344.0,63.11967213114754
17237099999,37.7833333,29.0833333,425.0,62.715745856353585
1412099999,58.65,5.5666666,26.0,47.38898678414097
72228693806,33.2119,-87.6161,45.7,63.88083333333333
47858099999,33.749027,129.785417,15.84,64.91912568306012
91190022516,20.89972,-156.42861,15.5,75.91857923497268
12950099999,46.5833333,18.85,98.0,50.90716253443527
47819099999,32.8166666,130.7,39.41,63.74832402234636
28428099999,56.5,56.1333333,148.0,38.01318681318681
59658099999,21.2166667,110.4,28.0,74.14590163934426
48390099999,16.3333333,103.5833333,140.86,80.77664835164835
93994099999,-29.25,-177.9333333,49.5,66.24672131147541
87571099999,-34.609939,-58.612592,17.98,64.30055710306407
34858099999,45.9166666,43.35,87.0,52.375956284153
62007099999,32.5552778,12.0555556,4.0,71.78515283842793
72360423007,34.4272,-100.2831,594.7,61.53060109289618
99470099999,59.38,-153.35,9.1,40.18087431693989
41170099999,25.261125,51.565056,10.66,82.71256830601092
72512504787,41.17833,-78.89889,552.9,47.028961748633876
6724099999,46.3,7.4666666,1508.0,42.703825136612025
72344499999,36.346,-94.219,395.0,57.195170454545455
72246999999,32.033,-96.4,137.0,66.23342465753424
94840099999,-38.0666666,142.7666666,131.0,54.7021978021978
54027099999,43.9833333,119.4,485.0,44.63743169398907
94480099999,-29.65,138.0666666,51.0,78.77467811158799
47663099999,34.0666666,136.2,17.1,62.76530054644808
2174099999,66.2833333,21.1333333,186.0,32.60568181818182
4373099999,64.7833333,-40.3,80.0,29.704216867469878
72344799999,36.3,-92.467,350.0,56.54457831325301
99406099999,43.97,-68.13,9.1,42.89071038251366
71166099999,60.4333333,-121.2333333,498.0,27.14058823529412
3222099999,54.9375,-2.809167,57.91,52.19881656804733
99647099999,34.27,-120.45,0.0,56.61229508196722
31174099999,54.8333333,137.5333333,21.0,26.279726027397256
96179099999,-0.479189,104.579283,30.0,81.14281345565749
1025099999,69.683333,18.918919,9.44,39.29644808743169
72405699999,36.895,-81.35,780.0,53.179829545454545
31329099999,53.0666667,132.9333333,543.0,22.528197674418607
72297699999,33.867,-117.983,29.0,64.51758241758242
72651999999,45.667,-97.0,354.0,44.380054644808745
82106099999,-0.133,-67.083,90.0,76.1
34123099999,51.7,39.2166666,149.0,45.63944444444444
40265099999,32.356353,36.259181,682.75,63.15933734939758
72234799999,31.267,-89.25,46.0,64.72932551319647
47103499999,37.7,125.7,91.0,61.16528925619835
30537099999,54.0333333,108.2666666,464.0,32.125882352941176
47787099999,34.045322,131.052144,3.96,61.69590163934426
2013099999,67.7333333,17.4666666,542.7,32.86033519553072
72227599999,31.308752,-86.393778,94.48,71.44817813765182
41700099999,29.4,71.7833333,113.0,83.23507462686567
40103099999,34.45,35.8,5.0,65.79543859649122
99999953878,35.4185,-82.5567,641.0,54.84808743169399
72534299999,38.764,-87.605,131.0,55.48415300546447
59855099999,19.2333333,110.4666666,25.0,76.85081967213115
66285099999,-11.768086,19.897672,1328.92,76.14999999999999
67969099999,-21.05,29.3666666,861.0,71.40282685512368
62733099999,15.3166666,35.6,451.0,85.83519553072625
72528014733,42.9408,-78.7358,218.2,47.85081967213115
54096099999,44.3833333,131.15,498.0,39.205769230769235
3962099999,52.701978,-8.924817,14.02,51.30491803278688
38799099999,38.0833333,62.8,185.0,64.7844262295082
74780599999,32.482,-81.733,57.0,67.49860724233983
29827099999,53.2666666,80.7666666,122.0,36.14863221884498
72450003928,37.6475,-97.43,402.6,57.21775956284152
85682099999,-36.77265,-73.063106,7.92,55.4379781420765
72506999999,41.683,-69.983,21.0,49.021169916434545
68029099999,-17.832875,25.1624,1002.48,75.68947368421053
72546214937,41.63278,-91.54306,198.1,50.936565096952904
